oyun_adi,puan,fiyat,yas_siniri,guncellenme_tarihi,tur_adi,URL
Vector Block,,0,3,,Strateji,https://play.google.com/store/apps/details?id=com.dedb8.vbock
Wednesdays Mobile,"5,0",0,18,9 Mayıs 2026,Macera,https://play.google.com/store/apps/details?id=com.ArteExperience.wednesdays
Bulmaca Kutusu - Aç Çelik Kasa,"4,5",0,3,14 Nisan 2026,"Bulmaca, Mantık",https://play.google.com/store/apps/details?id=com.peaksel.openthesafebox_3dsafebreaker_thevault
Sky: Children of the Light,"4,4",0,7,13 Mayıs 2026,"Rol Yapma, MMORPG",https://play.google.com/store/apps/details?id=com.tgc.sky.android
The Battle of Polytopia,"4,4",0,7,3 Nisan 2026,"Strateji, 4X, Basit",https://play.google.com/store/apps/details?id=air.com.midjiwan.polytopia
Underground Blossom,"4,9","134,99",12,28 Eylül 2023,"Macera, Bulmacalı macera",https://play.google.com/store/apps/details?id=air.com.RustyLake.UndergroundBlossom
The White Door,"4,8","129,99",12,30 Temmuz 2021,"Macera, Basit",https://play.google.com/store/apps/details?id=air.com.RustyLake.WhiteDoor
purple,"4,3",0,3,17 Ağustos 2024,"Bulmaca, Mantık",https://play.google.com/store/apps/details?id=air.com.bartbonte.purple
LEVELS II,"4,0",0,3,16 Ocak 2026,Bulmaca,https://play.google.com/store/apps/details?id=app.flow.levelsII
Brewtopia: Grow Coffee Beans,"3,4",0,3,4 Mart 2025,"Simülasyon, Yönetim, Çiftçilik, Basit",https://play.google.com/store/apps/details?id=ca.lbcstudios.coffee
The Room Three,"4,9","150,00",7,18 Aralık 2023,"Macera, Bulmacalı macera",https://play.google.com/store/apps/details?id=com.FireproofStudios.TheRoom3
quadline,"4,5",0,3,24 Nisan 2026,"Bulmaca, Mantık, Basit",https://play.google.com/store/apps/details?id=com.IvanKovalov.quadline.android
Brawl Stars,"4,2",0,7,20 Mayıs 2026,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.supercell.brawlstars
PUBG MOBILE,"4,5",0,12,14 Mayıs 2026,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.tencent.ig
eFootball™,"4,3",0,3,19 Mayıs 2026,"Spor, Futbol",https://play.google.com/store/apps/details?id=jp.konami.pesam
EA SPORTS FC™ Mobile Futbol 26,"4,5",0,3,18 Mayıs 2026,"Spor, Futbol",https://play.google.com/store/apps/details?id=com.ea.gp.fifamobile
Candy Crush Saga,"4,5",0,3,14 Mayıs 2026,"Bulmaca, Üçlü Eşleme, Basit",https://play.google.com/store/apps/details?id=com.king.candycrushsaga
Toca Boca World,"4,3",0,3,3 Nisan 2026,"Simülasyon, Yaşam",https://play.google.com/store/apps/details?id=com.tocaboca.tocalifeworld
