kategori,Guvenli/Tehlikeli
Görkemli Dövüş                          ,Tehlikeli
Dövüş Sanatları                         ,Tehlikeli
Keskin Nişancı                          ,Tehlikeli
Soğuk Savaş                             ,Tehlikeli
Salgın Simülatörü                       ,Tehlikeli
1. Dünya Savaşı                         ,Tehlikeli
Tank                                    ,Tehlikeli
On-Rails Shooter                        ,Tehlikeli
Şehir kurma ve savaş                    ,Tehlikeli
Acımasız                                ,Tehlikeli
Bağımlılık Yapıcı                       ,Tehlikeli
Dinozor                                 ,Tehlikeli
Warhammer 40K                           ,Tehlikeli
Deniz Savaşı                             ,Tehlikeli
Araçlı savaş                             ,Tehlikeli
Balon nişancısı                          ,Tehlikeli
Kumarhane                                ,Tehlikeli
Keskin nişancı                           ,Tehlikeli
Asimetrik savaş alanı                    ,Tehlikeli
Savaş oyunu                              ,Tehlikeli
Horror                                   ,Tehlikeli
Kart savaşı                             ,Tehlikeli
Ani Korku                                ,Tehlikeli
Kahraman nişancı                         ,Tehlikeli
Flört                                    ,Tehlikeli
Koşucu nişancı                           ,Tehlikeli
Kavga                                    ,Tehlikeli
Extraction Shooter                       ,Tehlikeli
Fighting                                ,Tehlikeli
Shooter                                ,Tehlikeli
LGBTİ+                                  ,Tehlikeli
Looter Shooter                          ,Tehlikeli

